vessel_id,name,port,eta,teu,length_m,draft_m,priority,status
PORT_B-V00000,MV A-0000,PORT_B,2024-01-01 00:38:00,1200,138.1,7.11,2,inbound
PORT_A-V00000,MV A-0000,PORT_A,2024-01-01 15:20:00,1200,121.6,7.33,2,inbound
PORT_A-V00001,MV B-0001,PORT_A,2024-01-01 20:59:00,600,94.7,6.06,1,inbound
PORT_B-V00001,MV B-0001,PORT_B,2024-01-02 08:52:00,2800,206.6,10.6,2,inbound
PORT_A-V00002,MV C-0002,PORT_A,2024-01-02 20:26:00,1200,135.4,7.44,2,inbound
PORT_A-V00004,MV E-0004,PORT_A,2024-01-03 07:22:00,300,93.0,5.27,2,inbound
PORT_A-V00003,MV D-0003,PORT_A,2024-01-03 07:38:00,300,110.2,5.47,2,inbound
PORT_A-V00005,MV F-0005,PORT_A,2024-01-03 11:53:00,600,120.5,6.2,1,inbound
PORT_A-V00006,MV G-0006,PORT_A,2024-01-03 15:04:00,600,132.4,5.95,2,inbound
PORT_B-V00002,MV C-0002,PORT_B,2024-01-03 17:57:00,600,105.2,6.75,2,inbound
PORT_A-V00007,MV H-0007,PORT_A,2024-01-03 20:31:00,2000,179.2,9.01,3,inbound
PORT_A-V00008,MV I-0008,PORT_A,2024-01-03 23:29:00,1200,138.8,6.8,2,inbound
PORT_A-V00009,MV J-0009,PORT_A,2024-01-04 07:47:00,2800,219.3,10.52,3,inbound
PORT_B-V00003,MV D-0003,PORT_B,2024-01-04 09:18:00,300,94.3,5.27,3,inbound
PORT_A-V00010,MV K-0010,PORT_A,2024-01-04 11:05:00,2000,192.6,8.95,3,inbound
PORT_A-V00011,MV L-0011,PORT_A,2024-01-04 17:04:00,600,96.2,5.96,2,inbound
PORT_A-V00012,MV M-0012,PORT_A,2024-01-04 18:44:00,300,109.1,5.16,2,inbound
PORT_A-V00013,MV N-0013,PORT_A,2024-01-04 20:36:00,1200,140.7,7.17,1,inbound
PORT_A-V00014,MV O-0014,PORT_A,2024-01-05 05:26:00,300,95.2,5.95,1,inbound
